ALGORITHM,STEPS,SIMPLIFIED,SEPARABILITY_MAX,SEPARABILITY_MIN,SEPARABILITY_AVG,SEPARABILITY_MEDIAN,DENSITY_MAX,DENSITY_MIN,DENSITY_AVG,DENSITY_MEDIAN,MODULARITY,COMMUNITIES,R
LPA,5,false,4,0,0.050203597996996,0,1,0,0.085547255425523,0,0.019852935672974,5664,X
LPA,10,false,4,0,0.040483871643416,0,1,0,0.06200572312558,0,0.039359516696561,4667,X
LPA,15,false,4,0,0.051242256946375,0,1,0,0.090068155852135,0,0.032262140789264,5548,X
LPA,20,false,9.12957780751916,0,0.054660894225981,0,1,0,0.087503986772051,0,0.023933285872841,5601,X
LPA,25,false,4,0,0.055462075162071,0,1,0,0.09450723605839,0,0.02254720208683,5646,X
LPA,30,false,7.88004311119095,0,0.055060832823884,0,1,0,0.086664250909527,0,0.028372937248219,5661,X
LPA,35,false,3,0,0.047464551276602,0,1,0,0.076555982347685,0,0.033995166545101,4911,X
LPA,40,false,14.7402101241643,0,0.054000088494149,0,1,0,0.084595496505902,0,0.015481910861261,5460,X
LPA,45,false,4,0,0.050271963158892,0,1,0,0.076617160559913,0,0.018147748195961,4899,X
LPA,50,false,4,0,0.045032702437814,0,1,0,0.070278882570526,0,0.025132294981007,4743,X
LPA,5,true,5,0,0.018924578385052,0,1,0,0.032108676934481,0,0.010003611506337,5344,X
LPA,10,true,8.04528705574706,0,0.026396633630905,0,1,0,0.041861277607217,0,0.070239593254915,5763,X
LPA,15,true,43.4456700305093,0,0.025538110910878,0,1,0,0.029844072881971,0,0.005717400761689,5316,X
LPA,20,true,1.8,0,0.017214183532158,0,1,0,0.030757979750801,0,0.034500867939419,5414,X
LPA,25,true,30.4488493196708,0,0.02772185176556,0,1,0,0.036400632112106,0,0.008109593894883,5534,X
LPA,30,true,1.8,0,0.022912784184275,0,1,0,0.042873482556109,0,0.037693158560793,5703,X
LPA,35,true,30.786457444994,0,0.022857624413226,0,1,0,0.031113747244051,0,0.009317154182774,5371,X
LPA,40,true,43.0654249126892,0,0.027310872902633,0,1,0,0.0289100297245,0,0.006029540907052,5309,X
LPA,45,true,4.66666666666667,0,0.017099953789718,0,1,0,0.027841607112697,0,0.009719208341458,5240,X
LPA,50,true,4,0,0.019443989857549,0,1,0,0.031787790469339,0,0.01389920950944,5459,X
LPA_spark,5,false,8.70003694126339,0,0.127199844090319,0,1,0,0.062963165296062,0,0.119506895557224,726,X
LPA_spark,10,false,18.4067741935484,0,0.28199093674047,0,1,0,0.097700475239435,0,0.091557664837717,185,X
LPA_spark,15,false,19.2276322293623,0,0.282046370598124,0,1,0,0.089240390975464,0,0.083137111358797,173,X
LPA_spark,20,false,19.6163972671221,0,0.2958830236419,0,1,0,0.095238557015271,0,0.079351582753515,171,X
LPA_spark,25,false,20.4817005228422,0,0.29102343795476,0,1,0,0.090286503099123,0,0.072977072269561,171,X
LPA_spark,30,false,22.496500276294,0,0.311580950948776,0,1,0,0.095804104160288,0,0.062931504472706,170,X
LPA_spark,35,false,33.6267162838445,0,0.353370859044482,0,1,0,0.09145536467835,0,0.030259265551333,167,X
LPA_spark,40,false,1594.21546961326,0,10.0239638041971,0,1,0,0.098781546206813,0,0.002063910300289,162,X
LPA_spark,45,false,1687.63157894737,0,10.5745188588756,0,1,0,0.093565157122247,0,0.00206370869052,162,X
LPA_spark,50,false,1594.21546961326,0,10.0239638041971,0,1,0,0.098781546206813,0,0.002063910300289,162,X
LPA_spark,5,true,8.47182713347921,0,0.025325704231252,0,1,0,0.014398660770686,0,0.134203917758071,3952,X
LPA_spark,10,true,17.4762958648806,0,0.017080899895593,0,1,0,0.00763680477834,0,0.098990750839244,3802,X
LPA_spark,15,true,18.037600922722,0,0.014851847286572,0,1,0,0.006832432330446,0,0.080875571050112,3792,X
LPA_spark,20,true,28.5201130319149,0,0.017786900517297,0,1,0,0.006872377362863,0,0.043647793638138,3792,X
LPA_spark,25,true,1923.62376237624,0,0.516407964259356,0,1,0,0.006830985197591,0,0.00283164000691,3792,X
LPA_spark,30,true,2399.35802469136,0,0.64284481439146,0,1,0,0.006883983090311,0,0.002770825160821,3791,X
LPA_spark,35,true,2699.30555555556,0,0.721180699484575,0,1,0,0.006864932124428,0,0.002774258813405,3791,X
LPA_spark,40,true,2399.35802469136,0,0.64284481439146,0,1,0,0.006883983090311,0,0.002770825160821,3791,X
LPA_spark,45,true,2699.30555555556,0,0.721180699484575,0,1,0,0.006864932124428,0,0.002774258813405,3791,X
LPA_spark,50,true,2399.35802469136,0,0.64284481439146,0,1,0,0.006883983090311,0,0.002770825160821,3791,X
DLPA,5,false,4,0,0.061322687337693,0,1,0,0.108523286116504,0,0.027134295344537,6252,X
DLPA,10,false,4,0,0.062693362965081,0,1,0,0.109578033398664,0,0.027227986255078,6267,X
DLPA,15,false,4,0,0.05468644392934,0,1,0,0.085457496477289,0,0.018862333771657,5056,X
DLPA,20,false,4,0,0.054172001150554,0,1,0,0.085888957848455,0,0.018881033195477,5067,X
DLPA,25,false,4,0,0.061945706258116,0,1,0,0.108398982306958,0,0.027102500575928,6260,X
DLPA,30,false,4,0,0.052720043819669,0,1,0,0.084684812304015,0,0.019117777086239,5087,X
DLPA,35,false,4,0,0.062277897945113,0,1,0,0.108851332837384,0,0.02714684317374,6257,X
DLPA,40,false,4,0,0.054605688620374,0,1,0,0.085515443959309,0,0.019129172546545,5075,X
DLPA,45,false,4,0,0.063256773130387,0,1,0,0.110035081752691,0,0.027129327930507,6258,X
DLPA,50,false,4,0,0.062290213902892,0,1,0,0.109228251026847,0,0.027126255485578,6255,X
DLPA,5,true,4,0,0.028721054935287,0,1,0,0.051806835945194,0,0.034176401720915,6158,X
DLPA,10,true,3,0,0.020131120032198,0,1,0,0.034506489909974,0,0.023000122003731,5622,X
DLPA,15,true,5,0,0.019568932976984,0,1,0,0.033017339822058,0,0.011884008192353,5580,X
DLPA,20,true,4.5,0,0.028367633750599,0,1,0,0.051310458750819,0,0.034098901576889,6158,X
DLPA,25,true,4.5,0,0.02103838507794,0,1,0,0.034701141648159,0,0.022998513994376,5624,X
DLPA,30,true,5,0,0.019597822003915,0,1,0,0.033007207756595,0,0.011856324742806,5577,X
DLPA,35,true,5,0,0.019701135750656,0,1,0,0.033339920674567,0,0.011921090283586,5580,X
DLPA,40,true,5,0,0.020166303636469,0,1,0,0.033059155832988,0,0.011874494939818,5580,X
DLPA,45,true,4.5,0,0.028760686961526,0,1,0,0.051516681775818,0,0.03408968129202,6169,X
DLPA,50,true,5,0,0.020604041290429,0,1,0,0.034013511933241,0,0.020195761061654,5602,X
LPA_pregel,5,false,7.28508303043261,0,0.070348014538866,0,1,0,0.042285493822098,0,0.058572893509137,980,X
LPA_pregel,10,false,622.597402597403,0,1.83350915099169,0,1,0,0.029221454952552,0,0.002396149939259,343,X
LPA_pregel,15,false,3699.24358974359,0,11.8306504464652,0,1,0,0.028755316202503,0,0.002063941812622,313,X
LPA_pregel,20,false,3699.24358974359,0,11.8306504464652,0,1,0,0.028755316202503,0,0.002063941812622,313,X
LPA_pregel,25,false,3699.24358974359,0,11.8306504464652,0,1,0,0.028755316202503,0,0.002063941812622,313,X
LPA_pregel,30,false,3699.24358974359,0,11.8306504464652,0,1,0,0.028755316202503,0,0.002063941812622,313,X
LPA_pregel,35,false,3699.24358974359,0,11.8306504464652,0,1,0,0.028755316202503,0,0.002063941812622,313,X
LPA_pregel,40,false,3699.24358974359,0,11.8306504464652,0,1,0,0.028755316202503,0,0.002063941812622,313,X
LPA_pregel,45,false,3699.24358974359,0,11.8306504464652,0,1,0,0.028755316202503,0,0.002063941812622,313,X
LPA_pregel,50,false,3699.24358974359,0,11.8306504464652,0,1,0,0.028755316202503,0,0.002063941812622,313,X
LPA_pregel,5,true,8.88584006754312,0,0.017480702709884,0,1,0,0.01011315542581,0,0.055262111033863,4000,X
LPA_pregel,10,true,269.318881118881,0,0.075241317100137,0,1,0,0.004645034943252,0,0.004980086962771,3830,X
LPA_pregel,15,true,7775.72,0,2.03792048129741,0,1,0,0.003908318309503,0,0.002545737187665,3823,X
LPA_pregel,20,true,7775.72,0,2.03792048129741,0,1,0,0.003908318309503,0,0.002545737187665,3823,X
LPA_pregel,25,true,7775.72,0,2.03792048129741,0,1,0,0.003908318309503,0,0.002545737187665,3823,X
LPA_pregel,30,true,7775.72,0,2.03792048129741,0,1,0,0.003908318309503,0,0.002545737187665,3823,X
LPA_pregel,35,true,7775.72,0,2.03792048129741,0,1,0,0.003908318309503,0,0.002545737187665,3823,X
LPA_pregel,40,true,7775.72,0,2.03792048129741,0,1,0,0.003908318309503,0,0.002545737187665,3823,X
LPA_pregel,45,true,7775.72,0,2.03792048129741,0,1,0,0.003908318309503,0,0.002545737187665,3823,X
LPA_pregel,50,true,7775.72,0,2.03792048129741,0,1,0,0.003908318309503,0,0.002545737187665,3823,X
SLPA,20,false,X,X,X,X,X,X,X,X,X,10831,0.009999999776482582
SLPA,30,false,X,X,X,X,X,X,X,X,X,11591,0.009999999776482582
SLPA,40,false,X,X,X,X,X,X,X,X,X,11913,0.009999999776482582
SLPA,20,false,X,X,X,X,X,X,X,X,X,10487,0.05000000074505806
SLPA,30,false,X,X,X,X,X,X,X,X,X,11404,0.05000000074505806
SLPA,40,false,X,X,X,X,X,X,X,X,X,12201,0.05000000074505806
SLPA,20,false,X,X,X,X,X,X,X,X,X,10639,0.10000000149011612
SLPA,30,false,X,X,X,X,X,X,X,X,X,11041,0.10000000149011612
SLPA,40,false,X,X,X,X,X,X,X,X,X,11984,0.10000000149011612
LPA_shuffle,5,false,4.0,0.0,0.058953739557691176,0.0,1.0,0.0,0.13364416300554052,0.0,0.04290435912569967,9850,X
LPA_shuffle,10,false,4.0,0.0,0.05726876137230619,0.0,1.0,0.0,0.12885692565251963,0.0,0.04180048461689839,9764,X
LPA_shuffle,15,false,3.0,0.0,0.05416605096269191,0.0,1.0,0.0,0.12477496088094787,0.0,0.0306253805441778,9422,X
LPA_shuffle,20,false,6.0,0.0,0.05569384921635031,0.0,1.0,0.0,0.1277933541506498,0.0,0.041842871471715955,9602,X
LPA_shuffle,25,false,3.3333333333333335,0.0,0.057156101558498325,0.0,1.0,0.0,0.1271294386155446,0.0,0.04919862940233958,9589,X
LPA_shuffle,30,false,4.0,0.0,0.05772533803543203,0.0,1.0,0.0,0.13000025942718763,0.0,0.04711715785885771,9614,X
LPA_shuffle,35,false,3.0,0.0,0.05408118420003191,0.0,1.0,0.0,0.12354085818106335,0.0,0.0362937740495653,9647,X
LPA_shuffle,40,false,4.0,0.0,0.05454425931728448,0.0,1.0,0.0,0.12138148161871673,0.0,0.03042906892712976,9324,X
LPA_shuffle,45,false,4.0,0.0,0.053956629857038745,0.0,1.0,0.0,0.11954252933795498,0.0,0.025331778242420507,9420,X
LPA_shuffle,50,false,3.0,0.0,0.055243787977556795,0.0,1.0,0.0,0.1286542732430857,0.0,0.05271506222136422,9524,X
LPA_shuffle,5,true,2.5,0.0,0.02425792875906287,0.0,1.0,0.0,0.06763141008266461,0.0,0.030661795668638844,7693,X
LPA_shuffle,10,true,3.0,0.0,0.023604006449878638,0.0,1.0,0.0,0.06738025261987994,0.0,0.025880590473175626,7806,X
LPA_shuffle,15,true,3.0,0.0,0.027618505047197865,0.0,1.0,0.0,0.07132032705943267,0.0,0.03794845010500791,7870,X
